ICD-10,Lab_Item,Original_ICD_Range
A033,Shigella DNA detection by NAAT,A030–A039
A038,Stool culture for Shigella spp.,A030–A039
A038,Shigella DNA detection by NAAT,A030–A039
A039,Stool culture for Shigella spp.,A030–A039
A039,Shigella DNA detection by NAAT,A030–A039
A040,Diarrheagenic Escherichia coli DNA detection by stool NAAT,A040–A044
A040,Stool culture if available,A040–A044
A041,Diarrheagenic Escherichia coli DNA detection by stool NAAT,A040–A044
A041,Stool culture if available,A040–A044
A042,Diarrheagenic Escherichia coli DNA detection by stool NAAT,A040–A044
A042,Stool culture if available,A040–A044
A043,Diarrheagenic Escherichia coli DNA detection by stool NAAT,A040–A044
A043,Stool culture if available,A040–A044
A044,Diarrheagenic Escherichia coli DNA detection by stool NAAT,A040–A044
A044,Stool culture if available,A040–A044
A043,Shiga toxin test,A043
A043,Shiga toxin gene detection,A043
A043,Stool culture for enterohemorrhagic E. coli,A043
A045,Stool culture for Campylobacter spp.,A045
A045,Campylobacter DNA detection by NAAT,A045
A046,Stool culture for Yersinia enterocolitica,A046
A046,Yersinia enterocolitica DNA detection by NAAT,A046
A047,Clostridioides difficile toxin antigen,A047
A047,Clostridioides difficile toxin gene DNA detection,A047
A048,Stool culture,A048–A049
A048,Stool bacterial pathogen panel by NAAT,A048–A049
A049,Stool culture,A048–A049
A049,Stool bacterial pathogen panel by NAAT,A048–A049
A050,Staphylococcus aureus enterotoxin test in stool/food if available,A050
A051,Botulinum toxin test in serum/stool/food,A051
A051,Clostridium botulinum culture,A051
A052,Clostridium perfringens enterotoxin test,A052
A052,Stool/food culture for Clostridium perfringens,A052
A053,Stool/food culture for Vibrio parahaemolyticus,A053
A053,Vibrio parahaemolyticus DNA detection,A053
A054,Bacillus cereus toxin test in food/stool if available,A054
A054,Stool/food culture,A054
A058,Foodborne bacterial toxin test according to suspected organism,A058–A059
A059,Foodborne bacterial toxin test according to suspected organism,A058–A059
A060,Stool ova and parasite examination,A060–A069
A060,Entamoeba histolytica antigen test,A060–A069
A060,Entamoeba histolytica DNA detection,A060–A069
A060,Entamoeba histolytica antibody if extraintestinal disease suspected,A060–A069
A061,Stool ova and parasite examination,A060–A069
A061,Entamoeba histolytica antigen test,A060–A069
A061,Entamoeba histolytica DNA detection,A060–A069
A061,Entamoeba histolytica antibody if extraintestinal disease suspected,A060–A069
A062,Stool ova and parasite examination,A060–A069
A062,Entamoeba histolytica antigen test,A060–A069
A062,Entamoeba histolytica DNA detection,A060–A069
A062,Entamoeba histolytica antibody if extraintestinal disease suspected,A060–A069
A063,Stool ova and parasite examination,A060–A069
A063,Entamoeba histolytica antigen test,A060–A069
A063,Entamoeba histolytica DNA detection,A060–A069
A063,Entamoeba histolytica antibody if extraintestinal disease suspected,A060–A069
A064,Stool ova and parasite examination,A060–A069
A064,Entamoeba histolytica antigen test,A060–A069
A064,Entamoeba histolytica DNA detection,A060–A069
A064,Entamoeba histolytica antibody if extraintestinal disease suspected,A060–A069
A065,Stool ova and parasite examination,A060–A069
A065,Entamoeba histolytica antigen test,A060–A069
A065,Entamoeba histolytica DNA detection,A060–A069
A065,Entamoeba histolytica antibody if extraintestinal disease suspected,A060–A069
A066,Stool ova and parasite examination,A060–A069
A066,Entamoeba histolytica antigen test,A060–A069
A066,Entamoeba histolytica DNA detection,A060–A069
A066,Entamoeba histolytica antibody if extraintestinal disease suspected,A060–A069
A067,Stool ova and parasite examination,A060–A069
A067,Entamoeba histolytica antigen test,A060–A069
A067,Entamoeba histolytica DNA detection,A060–A069
A067,Entamoeba histolytica antibody if extraintestinal disease suspected,A060–A069
A068,Stool ova and parasite examination,A060–A069
A068,Entamoeba histolytica antigen test,A060–A069
A068,Entamoeba histolytica DNA detection,A060–A069
A068,Entamoeba histolytica antibody if extraintestinal disease suspected,A060–A069
A069,Stool ova and parasite examination,A060–A069
A069,Entamoeba histolytica antigen test,A060–A069
A069,Entamoeba histolytica DNA detection,A060–A069
A069,Entamoeba histolytica antibody if extraintestinal disease suspected,A060–A069
A064,Entamoeba histolytica antibody,A064–A066
A064,Abscess aspirate microscopy/culture if sampled,A064–A066
A064,Entamoeba histolytica DNA detection,A064–A066
A065,Entamoeba histolytica antibody,A064–A066
A065,Abscess aspirate microscopy/culture if sampled,A064–A066
A065,Entamoeba histolytica DNA detection,A064–A066
A066,Entamoeba histolytica antibody,A064–A066
A066,Abscess aspirate microscopy/culture if sampled,A064–A066
A066,Entamoeba histolytica DNA detection,A064–A066
A067,Tissue/lesion microscopy,A067–A068
A067,Entamoeba histolytica DNA detection,A067–A068
A068,Tissue/lesion microscopy,A067–A068
A068,Entamoeba histolytica DNA detection,A067–A068
A070,Stool ova and parasite examination,A070
A070,Balantidium coli microscopy,A070
A071,Stool Giardia antigen test,A071
A071,Stool ova and parasite examination,A071
A071,Giardia lamblia DNA detection,A071
A072,Stool Cryptosporidium antigen test,A072
A072,Modified acid-fast stain,A072
A072,Cryptosporidium DNA detection,A072
A073,Stool modified acid-fast stain,A073
A073,Cystoisospora belli microscopy,A073
A078,Stool ova and parasite examination,A078–A079
A078,Stool protozoa antigen/NAAT panel,A078–A079
A079,Stool ova and parasite examination,A078–A079
A079,Stool protozoa antigen/NAAT panel,A078–A079
A080,Rotavirus antigen test,A080
A080,Rotavirus RNA detection,A080
A081,Norovirus RNA detection by NAAT,A081
A082,Adenovirus antigen test,A082
A082,Adenovirus DNA detection,A082
A083,Stool viral pathogen panel by NAAT,A083–A084
A084,Stool viral pathogen panel by NAAT,A083–A084
A085,Stool pathogen test according to suspected organism,A085
A090,Stool culture,A090–A099
A090,Stool ova and parasite examination,A090–A099
A090,Stool pathogen panel by NAAT,A090–A099
A099,Stool culture,A090–A099
A099,Stool ova and parasite examination,A090–A099
A099,Stool pathogen panel by NAAT,A090–A099
A150,Sputum AFB smear,A150–A159
A150,Mycobacterial culture,A150–A159
A150,MTB complex DNA detection,A150–A159
A150,Drug susceptibility testing,A150–A159
A151,Sputum AFB smear,A150–A159
A151,Mycobacterial culture,A150–A159
A151,MTB complex DNA detection,A150–A159
A151,Drug susceptibility testing,A150–A159
A152,Sputum AFB smear,A150–A159
A152,Mycobacterial culture,A150–A159
A152,MTB complex DNA detection,A150–A159
A152,Drug susceptibility testing,A150–A159
A153,Sputum AFB smear,A150–A159
A153,Mycobacterial culture,A150–A159
A153,MTB complex DNA detection,A150–A159
A153,Drug susceptibility testing,A150–A159
A154,Sputum AFB smear,A150–A159
A154,Mycobacterial culture,A150–A159
A154,MTB complex DNA detection,A150–A159
A154,Drug susceptibility testing,A150–A159
A155,Sputum AFB smear,A150–A159
A155,Mycobacterial culture,A150–A159
A155,MTB complex DNA detection,A150–A159
A155,Drug susceptibility testing,A150–A159
A156,Sputum AFB smear,A150–A159
A156,Mycobacterial culture,A150–A159
A156,MTB complex DNA detection,A150–A159
A156,Drug susceptibility testing,A150–A159
A157,Sputum AFB smear,A150–A159
A157,Mycobacterial culture,A150–A159
A157,MTB complex DNA detection,A150–A159
A157,Drug susceptibility testing,A150–A159
A158,Sputum AFB smear,A150–A159
A158,Mycobacterial culture,A150–A159
A158,MTB complex DNA detection,A150–A159
A158,Drug susceptibility testing,A150–A159
A159,Sputum AFB smear,A150–A159
A159,Mycobacterial culture,A150–A159
A159,MTB complex DNA detection,A150–A159
A159,Drug susceptibility testing,A150–A159
A160,Sputum AFB smear,A160–A169
A160,Mycobacterial culture,A160–A169
A160,MTB complex DNA detection if confirmation needed,A160–A169
A161,Sputum AFB smear,A160–A169
A161,Mycobacterial culture,A160–A169
A161,MTB complex DNA detection if confirmation needed,A160–A169
A162,Sputum AFB smear,A160–A169
A162,Mycobacterial culture,A160–A169
A162,MTB complex DNA detection if confirmation needed,A160–A169
A163,Sputum AFB smear,A160–A169
A163,Mycobacterial culture,A160–A169
A163,MTB complex DNA detection if confirmation needed,A160–A169
A164,Sputum AFB smear,A160–A169
A164,Mycobacterial culture,A160–A169
A164,MTB complex DNA detection if confirmation needed,A160–A169
A165,Sputum AFB smear,A160–A169
A165,Mycobacterial culture,A160–A169
A165,MTB complex DNA detection if confirmation needed,A160–A169
A167,Sputum AFB smear,A160–A169
A167,Mycobacterial culture,A160–A169
A167,MTB complex DNA detection if confirmation needed,A160–A169
A168,Sputum AFB smear,A160–A169
A168,Mycobacterial culture,A160–A169
A168,MTB complex DNA detection if confirmation needed,A160–A169
A169,Sputum AFB smear,A160–A169
A169,Mycobacterial culture,A160–A169
A169,MTB complex DNA detection if confirmation needed,A160–A169
A170,CSF AFB smear,A170–A179
A170,CSF mycobacterial culture,A170–A179
A170,CSF MTB complex DNA detection,A170–A179
A170,CSF adenosine deaminase,A170–A179
A171,CSF AFB smear,A170–A179
A171,CSF mycobacterial culture,A170–A179
A171,CSF MTB complex DNA detection,A170–A179
A171,CSF adenosine deaminase,A170–A179
A178,CSF AFB smear,A170–A179
A178,CSF mycobacterial culture,A170–A179
A178,CSF MTB complex DNA detection,A170–A179
A178,CSF adenosine deaminase,A170–A179
A179,CSF AFB smear,A170–A179
A179,CSF mycobacterial culture,A170–A179
A179,CSF MTB complex DNA detection,A170–A179
A179,CSF adenosine deaminase,A170–A179
A180,Tissue/joint fluid AFB smear,A180
A180,Mycobacterial culture,A180
A180,MTB complex DNA detection,A180
A180,Histopathology,A180
A181,Urine AFB smear,A181
A181,Urine mycobacterial culture,A181
A181,Urine MTB complex DNA detection,A181
A182,Lymph node aspirate/tissue AFB smear,A182
A182,Mycobacterial culture,A182
A182,MTB complex DNA detection,A182
A182,Histopathology,A182
A183,Stool/tissue/peritoneal fluid AFB smear,A183
A183,Mycobacterial culture,A183
A183,MTB complex DNA detection,A183
A183,Histopathology,A183
A184,Skin biopsy AFB smear,A184
A184,Mycobacterial culture,A184
A184,MTB complex DNA detection,A184
A184,Histopathology,A184
A185,Site-specific specimen AFB smear,A185–A188
A185,Mycobacterial culture,A185–A188
A185,MTB complex DNA detection,A185–A188
A185,Histopathology,A185–A188
A186,Site-specific specimen AFB smear,A185–A188
A186,Mycobacterial culture,A185–A188
A186,MTB complex DNA detection,A185–A188
A186,Histopathology,A185–A188
A187,Site-specific specimen AFB smear,A185–A188
A187,Mycobacterial culture,A185–A188
A187,MTB complex DNA detection,A185–A188
A187,Histopathology,A185–A188
A188,Site-specific specimen AFB smear,A185–A188
A188,Mycobacterial culture,A185–A188
A188,MTB complex DNA detection,A185–A188
A188,Histopathology,A185–A188
A190,AFB smear/culture from involved specimen,A190–A199
A190,MTB complex DNA detection,A190–A199
A190,Blood mycobacterial culture if disseminated disease suspected,A190–A199
A191,AFB smear/culture from involved specimen,A190–A199
A191,MTB complex DNA detection,A190–A199
A191,Blood mycobacterial culture if disseminated disease suspected,A190–A199
A192,AFB smear/culture from involved specimen,A190–A199
A192,MTB complex DNA detection,A190–A199
A192,Blood mycobacterial culture if disseminated disease suspected,A190–A199
A198,AFB smear/culture from involved specimen,A190–A199
A198,MTB complex DNA detection,A190–A199
A198,Blood mycobacterial culture if disseminated disease suspected,A190–A199
A199,AFB smear/culture from involved specimen,A190–A199
A199,MTB complex DNA detection,A190–A199
A199,Blood mycobacterial culture if disseminated disease suspected,A190–A199
A200,Yersinia pestis culture,A200–A209
A200,Yersinia pestis DNA detection,A200–A209
A200,Yersinia pestis serology,A200–A209
A201,Yersinia pestis culture,A200–A209
A201,Yersinia pestis DNA detection,A200–A209
A201,Yersinia pestis serology,A200–A209
A202,Yersinia pestis culture,A200–A209
A202,Yersinia pestis DNA detection,A200–A209
A202,Yersinia pestis serology,A200–A209
A203,Yersinia pestis culture,A200–A209
A203,Yersinia pestis DNA detection,A200–A209
A203,Yersinia pestis serology,A200–A209
A207,Yersinia pestis culture,A200–A209
A207,Yersinia pestis DNA detection,A200–A209
A207,Yersinia pestis serology,A200–A209
A208,Yersinia pestis culture,A200–A209
A208,Yersinia pestis DNA detection,A200–A209
A208,Yersinia pestis serology,A200–A209
A209,Yersinia pestis culture,A200–A209
A209,Yersinia pestis DNA detection,A200–A209
A209,Yersinia pestis serology,A200–A209
A210,Francisella tularensis serology,A210–A219
A210,Francisella tularensis culture,A210–A219
A210,Francisella tularensis DNA detection,A210–A219
A211,Francisella tularensis serology,A210–A219
A211,Francisella tularensis culture,A210–A219
A211,Francisella tularensis DNA detection,A210–A219
A212,Francisella tularensis serology,A210–A219
A212,Francisella tularensis culture,A210–A219
A212,Francisella tularensis DNA detection,A210–A219
A213,Francisella tularensis serology,A210–A219
A213,Francisella tularensis culture,A210–A219
A213,Francisella tularensis DNA detection,A210–A219
A217,Francisella tularensis serology,A210–A219
A217,Francisella tularensis culture,A210–A219
A217,Francisella tularensis DNA detection,A210–A219
A218,Francisella tularensis serology,A210–A219
A218,Francisella tularensis culture,A210–A219
A218,Francisella tularensis DNA detection,A210–A219
A219,Francisella tularensis serology,A210–A219
A219,Francisella tularensis culture,A210–A219
A219,Francisella tularensis DNA detection,A210–A219
A220,Bacillus anthracis culture,A220–A229
A220,Bacillus anthracis DNA detection,A220–A229
A220,Anthrax toxin/serology if available,A220–A229
A221,Bacillus anthracis culture,A220–A229
A221,Bacillus anthracis DNA detection,A220–A229
A221,Anthrax toxin/serology if available,A220–A229
A222,Bacillus anthracis culture,A220–A229
A222,Bacillus anthracis DNA detection,A220–A229
A222,Anthrax toxin/serology if available,A220–A229
A227,Bacillus anthracis culture,A220–A229
A227,Bacillus anthracis DNA detection,A220–A229
A227,Anthrax toxin/serology if available,A220–A229
A228,Bacillus anthracis culture,A220–A229
A228,Bacillus anthracis DNA detection,A220–A229
A228,Anthrax toxin/serology if available,A220–A229
A229,Bacillus anthracis culture,A220–A229
A229,Bacillus anthracis DNA detection,A220–A229
A229,Anthrax toxin/serology if available,A220–A229
A230,Blood culture for Brucella spp.,A230–A239
A230,Brucella serology,A230–A239
A230,Brucella DNA detection,A230–A239
A231,Blood culture for Brucella spp.,A230–A239
A231,Brucella serology,A230–A239
A231,Brucella DNA detection,A230–A239
A232,Blood culture for Brucella spp.,A230–A239
A232,Brucella serology,A230–A239
A232,Brucella DNA detection,A230–A239
A233,Blood culture for Brucella spp.,A230–A239
A233,Brucella serology,A230–A239
A233,Brucella DNA detection,A230–A239
A238,Blood culture for Brucella spp.,A230–A239
A238,Brucella serology,A230–A239
A238,Brucella DNA detection,A230–A239
A239,Blood culture for Brucella spp.,A230–A239
A239,Brucella serology,A230–A239
A239,Brucella DNA detection,A230–A239
A240,Culture for Burkholderia mallei/pseudomallei,A240–A244
A240,Blood culture,A240–A244
A240,Burkholderia pseudomallei DNA detection,A240–A244
A241,Culture for Burkholderia mallei/pseudomallei,A240–A244
A241,Blood culture,A240–A244
A241,Burkholderia pseudomallei DNA detection,A240–A244
A242,Culture for Burkholderia mallei/pseudomallei,A240–A244
A242,Blood culture,A240–A244
A242,Burkholderia pseudomallei DNA detection,A240–A244
A243,Culture for Burkholderia mallei/pseudomallei,A240–A244
A243,Blood culture,A240–A244
A243,Burkholderia pseudomallei DNA detection,A240–A244
A244,Culture for Burkholderia mallei/pseudomallei,A240–A244
A244,Blood culture,A240–A244
A244,Burkholderia pseudomallei DNA detection,A240–A244
A250,Blood culture if systemic illness,A250–A259
A250,Streptobacillus moniliformis culture/NAAT,A250–A259
A250,Spirillum minus microscopy if suspected,A250–A259
A251,Blood culture if systemic illness,A250–A259
A251,Streptobacillus moniliformis culture/NAAT,A250–A259
A251,Spirillum minus microscopy if suspected,A250–A259
A259,Blood culture if systemic illness,A250–A259
A259,Streptobacillus moniliformis culture/NAAT,A250–A259
A259,Spirillum minus microscopy if suspected,A250–A259
A260,Skin/tissue culture for Erysipelothrix rhusiopathiae,A260–A269
A260,Blood culture if sepsis suspected,A260–A269
A267,Skin/tissue culture for Erysipelothrix rhusiopathiae,A260–A269
A267,Blood culture if sepsis suspected,A260–A269
A268,Skin/tissue culture for Erysipelothrix rhusiopathiae,A260–A269
A268,Blood culture if sepsis suspected,A260–A269
A269,Skin/tissue culture for Erysipelothrix rhusiopathiae,A260–A269
A269,Blood culture if sepsis suspected,A260–A269
A270,Leptospira IgM antibody,A270–A279
A270,MAT for Leptospira,A270–A279
A270,Leptospira DNA detection,A270–A279
A270,Blood/urine culture if available,A270–A279
A278,Leptospira IgM antibody,A270–A279
A278,MAT for Leptospira,A270–A279
A278,Leptospira DNA detection,A270–A279
A278,Blood/urine culture if available,A270–A279
A279,Leptospira IgM antibody,A270–A279
A279,MAT for Leptospira,A270–A279
A279,Leptospira DNA detection,A270–A279
A279,Blood/urine culture if available,A270–A279
A280,Wound/respiratory specimen culture for Pasteurella spp.,A280
A281,Bartonella henselae IgG/IgM antibody,A281
A281,Bartonella henselae DNA detection,A281
A282,Culture / DNA detection for Yersinia spp.,A282
A288,Zoonotic bacterial culture/serology/NAAT according to suspected organism,A288–A289
A289,Zoonotic bacterial culture/serology/NAAT according to suspected organism,A288–A289
A300,Slit-skin smear for acid-fast bacilli,A300–A309
A300,Skin biopsy histopathology,A300–A309
A300,Mycobacterium leprae DNA detection,A300–A309
A301,Slit-skin smear for acid-fast bacilli,A300–A309
A301,Skin biopsy histopathology,A300–A309
A301,Mycobacterium leprae DNA detection,A300–A309
A302,Slit-skin smear for acid-fast bacilli,A300–A309
A302,Skin biopsy histopathology,A300–A309
A302,Mycobacterium leprae DNA detection,A300–A309
A303,Slit-skin smear for acid-fast bacilli,A300–A309
A303,Skin biopsy histopathology,A300–A309
A303,Mycobacterium leprae DNA detection,A300–A309
A304,Slit-skin smear for acid-fast bacilli,A300–A309
A304,Skin biopsy histopathology,A300–A309
A304,Mycobacterium leprae DNA detection,A300–A309
A305,Slit-skin smear for acid-fast bacilli,A300–A309
A305,Skin biopsy histopathology,A300–A309
A305,Mycobacterium leprae DNA detection,A300–A309
A308,Slit-skin smear for acid-fast bacilli,A300–A309
A308,Skin biopsy histopathology,A300–A309
A308,Mycobacterium leprae DNA detection,A300–A309
A309,Slit-skin smear for acid-fast bacilli,A300–A309
A309,Skin biopsy histopathology,A300–A309
A309,Mycobacterium leprae DNA detection,A300–A309
A310,AFB smear,A310–A319
A310,Mycobacterial culture,A310–A319
A310,Nontuberculous mycobacteria species identification,A310–A319
A310,Mycobacterial DNA detection,A310–A319
A311,AFB smear,A310–A319
A311,Mycobacterial culture,A310–A319
A311,Nontuberculous mycobacteria species identification,A310–A319
A311,Mycobacterial DNA detection,A310–A319
A318,AFB smear,A310–A319
A318,Mycobacterial culture,A310–A319
A318,Nontuberculous mycobacteria species identification,A310–A319
A318,Mycobacterial DNA detection,A310–A319
A319,AFB smear,A310–A319
A319,Mycobacterial culture,A310–A319
A319,Nontuberculous mycobacteria species identification,A310–A319
A319,Mycobacterial DNA detection,A310–A319
A320,Blood culture for Listeria monocytogenes,A320–A329
A320,CSF culture if meningitis,A320–A329
A320,Listeria DNA detection if available,A320–A329
A321,Blood culture for Listeria monocytogenes,A320–A329
A321,CSF culture if meningitis,A320–A329
A321,Listeria DNA detection if available,A320–A329
A327,Blood culture for Listeria monocytogenes,A320–A329
A327,CSF culture if meningitis,A320–A329
A327,Listeria DNA detection if available,A320–A329
A328,Blood culture for Listeria monocytogenes,A320–A329
A328,CSF culture if meningitis,A320–A329
A328,Listeria DNA detection if available,A320–A329
A329,Blood culture for Listeria monocytogenes,A320–A329
A329,CSF culture if meningitis,A320–A329
A329,Listeria DNA detection if available,A320–A329
A33,nan,A33–A35
A34,nan,A33–A35
A35,nan,A33–A35
A360,Throat/skin lesion culture for Corynebacterium diphtheriae,A360–A369
A360,Diphtheria toxin test,A360–A369
A360,Corynebacterium diphtheriae DNA detection,A360–A369
A361,Throat/skin lesion culture for Corynebacterium diphtheriae,A360–A369
A361,Diphtheria toxin test,A360–A369
A361,Corynebacterium diphtheriae DNA detection,A360–A369
A362,Throat/skin lesion culture for Corynebacterium diphtheriae,A360–A369
A362,Diphtheria toxin test,A360–A369
A362,Corynebacterium diphtheriae DNA detection,A360–A369
A363,Throat/skin lesion culture for Corynebacterium diphtheriae,A360–A369
A363,Diphtheria toxin test,A360–A369
A363,Corynebacterium diphtheriae DNA detection,A360–A369
A368,Throat/skin lesion culture for Corynebacterium diphtheriae,A360–A369
A368,Diphtheria toxin test,A360–A369
A368,Corynebacterium diphtheriae DNA detection,A360–A369
A369,Throat/skin lesion culture for Corynebacterium diphtheriae,A360–A369
A369,Diphtheria toxin test,A360–A369
A369,Corynebacterium diphtheriae DNA detection,A360–A369
A370,Bordetella pertussis DNA detection by NAAT,A370
A370,Nasopharyngeal culture,A370
A370,Pertussis serology if late presentation,A370
A371,Bordetella parapertussis DNA detection by NAAT,A371
A371,Nasopharyngeal culture,A371
A378,Bordetella DNA detection by NAAT,A378–A379
A378,Nasopharyngeal culture,A378–A379
A379,Bordetella DNA detection by NAAT,A378–A379
A379,Nasopharyngeal culture,A378–A379
A38,Throat culture for Group A Streptococcus,A38
A38,Group A Streptococcus rapid antigen test,A38
A390,CSF Gram stain and culture,A390–A399
A390,Blood culture,A390–A399
A390,Neisseria meningitidis DNA detection,A390–A399
A391,CSF Gram stain and culture,A390–A399
A391,Blood culture,A390–A399
A391,Neisseria meningitidis DNA detection,A390–A399
A392,CSF Gram stain and culture,A390–A399
A392,Blood culture,A390–A399
A392,Neisseria meningitidis DNA detection,A390–A399
A393,CSF Gram stain and culture,A390–A399
A393,Blood culture,A390–A399
A393,Neisseria meningitidis DNA detection,A390–A399
A394,CSF Gram stain and culture,A390–A399
A394,Blood culture,A390–A399
A394,Neisseria meningitidis DNA detection,A390–A399
A395,CSF Gram stain and culture,A390–A399
A395,Blood culture,A390–A399
A395,Neisseria meningitidis DNA detection,A390–A399
A398,CSF Gram stain and culture,A390–A399
A398,Blood culture,A390–A399
A398,Neisseria meningitidis DNA detection,A390–A399
A399,CSF Gram stain and culture,A390–A399
A399,Blood culture,A390–A399
A399,Neisseria meningitidis DNA detection,A390–A399
A400,Blood culture,A400–A409
A400,Culture/NAAT for Streptococcus spp. according to suspected site,A400–A409
A401,Blood culture,A400–A409
A401,Culture/NAAT for Streptococcus spp. according to suspected site,A400–A409
A402,Blood culture,A400–A409
A402,Culture/NAAT for Streptococcus spp. according to suspected site,A400–A409
A403,Blood culture,A400–A409
A403,Culture/NAAT for Streptococcus spp. according to suspected site,A400–A409
A408,Blood culture,A400–A409
A408,Culture/NAAT for Streptococcus spp. according to suspected site,A400–A409
A409,Blood culture,A400–A409
A409,Culture/NAAT for Streptococcus spp. according to suspected site,A400–A409
A410,Blood culture,A410–A412
A410,Culture/NAAT for Staphylococcus spp. according to suspected site,A410–A412
A411,Blood culture,A410–A412
A411,Culture/NAAT for Staphylococcus spp. according to suspected site,A410–A412
A412,Blood culture,A410–A412
A412,Culture/NAAT for Staphylococcus spp. according to suspected site,A410–A412
A413,Blood culture,A413
A413,Culture for Haemophilus influenzae,A413
A414,Blood culture for anaerobes,A414
A415,Blood culture,A415–A419
A415,Culture/NAAT according to suspected organism,A415–A419
A418,Blood culture,A415–A419
A418,Culture/NAAT according to suspected organism,A415–A419
A419,Blood culture,A415–A419
A419,Culture/NAAT according to suspected organism,A415–A419
A420,Tissue/abscess aspirate Gram stain,A420–A429
A420,Anaerobic culture for Actinomyces spp.,A420–A429
A420,Histopathology,A420–A429
A421,Tissue/abscess aspirate Gram stain,A420–A429
A421,Anaerobic culture for Actinomyces spp.,A420–A429
A421,Histopathology,A420–A429
A422,Tissue/abscess aspirate Gram stain,A420–A429
A422,Anaerobic culture for Actinomyces spp.,A420–A429
A422,Histopathology,A420–A429
A427,Tissue/abscess aspirate Gram stain,A420–A429
A427,Anaerobic culture for Actinomyces spp.,A420–A429
A427,Histopathology,A420–A429
A428,Tissue/abscess aspirate Gram stain,A420–A429
A428,Anaerobic culture for Actinomyces spp.,A420–A429
A428,Histopathology,A420–A429
A429,Tissue/abscess aspirate Gram stain,A420–A429
A429,Anaerobic culture for Actinomyces spp.,A420–A429
A429,Histopathology,A420–A429
A430,Modified acid-fast stain,A430–A439
A430,Culture for Nocardia spp.,A430–A439
A430,Nocardia species identification,A430–A439
A431,Modified acid-fast stain,A430–A439
A431,Culture for Nocardia spp.,A430–A439
A431,Nocardia species identification,A430–A439
A438,Modified acid-fast stain,A430–A439
A438,Culture for Nocardia spp.,A430–A439
A438,Nocardia species identification,A430–A439
A439,Modified acid-fast stain,A430–A439
A439,Culture for Nocardia spp.,A430–A439
A439,Nocardia species identification,A430–A439
A440,Bartonella serology,A440–A449
A440,Bartonella blood culture,A440–A449
A440,Bartonella DNA detection,A440–A449
A441,Bartonella serology,A440–A449
A441,Bartonella blood culture,A440–A449
A441,Bartonella DNA detection,A440–A449
A448,Bartonella serology,A440–A449
A448,Bartonella blood culture,A440–A449
A448,Bartonella DNA detection,A440–A449
A449,Bartonella serology,A440–A449
A449,Bartonella blood culture,A440–A449
A449,Bartonella DNA detection,A440–A449
A46,Skin lesion bacterial culture if atypical/severe,A46
A46,Blood culture if systemic infection suspected,A46
A480,Wound/tissue Gram stain and anaerobic culture,A480
A480,Blood culture,A480
A481,Legionella pneumophila urinary antigen,A481–A482
A481,Respiratory culture for Legionella,A481–A482
A481,Legionella DNA detection,A481–A482
A482,Legionella pneumophila urinary antigen,A481–A482
A482,Respiratory culture for Legionella,A481–A482
A482,Legionella DNA detection,A481–A482
A483,Blood culture,A483
A483,Culture from suspected focus,A483
A483,Toxic shock toxin testing if available,A483
A484,Blood culture,A484
A484,Haemophilus aegyptius culture if available,A484
A488,Bacterial culture/NAAT according to suspected organism,A488
A490,Culture/NAAT according to suspected site and organism,A490–A499
A491,Culture/NAAT according to suspected site and organism,A490–A499
A492,Culture/NAAT according to suspected site and organism,A490–A499
